시도,시군구,해수욕장명,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
경상북도,영덕,고래불,378820 ,354599 ,397950 ,337000 ,306930 ,28980 ,19375 ,57607 ,84206 ,60662 
경상북도,영덕,남호,19870 ,20200 ,8260 ,10620 ,8888 ,3475 ,6466 ,6076 ,8681 ,5714 
경상북도,영덕,대진,24500 ,24680 ,21060 ,17622 ,9874 ,8356 ,9678 ,6413 ,15686 ,11590 
경상북도,영덕,오보,2480 ,2612 ,2656 ,1299 ,1619 ,1573 ,1878 ,2127 ,3535 ,2894 
경상북도,영덕,장사,80150 ,80100 ,75700 ,50730 ,42485 ,16508 ,48691 ,59234 ,77506 ,55087 
경상북도,영덕,하저,3310 ,5180 ,7477 ,4716 ,3907 ,5120 ,4665 ,5978 ,10994 ,9098 
경상북도,울진,구산,43204 ,43138 ,28249 ,26250 ,24221 ,26607 ,33782 ,22729 ,29335 ,24577 
경상북도,울진,기성망양,10675 ,7634 ,5646 ,4817 ,6975 ,10965 ,6288 ,0 ,0 ,0 
경상북도,울진,나곡,16482 ,10600 ,10396 ,5580 ,5332 ,5700 ,3386 ,3987 ,4535 ,3770 
경상북도,울진,망양정,28420 ,38593 ,25482 ,27694 ,21049 ,13746 ,4574 ,8414 ,4594 ,7312 
경상북도,울진,봉평,6547 ,6716 ,5441 ,6180 ,4151 ,9121 ,7109 ,5847 ,8703 ,5845 
경상북도,울진,후정,10243 ,13275 ,8044 ,9414 ,7421 ,11296 ,8700 ,17846 ,8799 ,9545 
경상북도,울진,후포,29123 ,31565 ,21425 ,17700 ,32240 ,12753 ,8376 ,18798 ,24290 ,16550 
경상북도,포항,구룡포,36450 ,54500 ,67700 ,71615 ,48990 ,30922 ,12773 ,25514 ,27900 ,32718 
경상북도,포항,도구,24940 ,20010 ,10820 ,10930 ,18294 ,18704 ,26155 ,15352 ,23280 ,32792 
경상북도,포항,영일대,1905800 ,2238480 ,2042470 ,2479030 ,50080 ,52026 ,31616 ,33530 ,40400 ,57433 
경상북도,포항,월포,1717380 ,1739150 ,1772910 ,1510440 ,61330 ,41214 ,28911 ,124760 ,135557 ,32241 
경상북도,포항,칠포,133800 ,58590 ,61340 ,39530 ,16664 ,25303 ,10055 ,18197 ,29463 ,27579 
경상북도,포항,화진,117440 ,123800 ,116290 ,67430 ,20690 ,22808 ,11888 ,17540 ,28655 ,22453 
경상북도,포항,신창,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5260 
부산광역시,기장군,일광,249200 ,290500 ,277650 ,296230 ,209270 ,150550 ,71950 ,232840 ,45000 ,55800 
부산광역시,기장군,임랑,196100 ,370170 ,265700 ,270730 ,195700 ,138860 ,45729 ,142750 ,29400 ,36300 
부산광역시,사하구,다대포,4332300 ,5670000 ,7320000 ,7240300 ,5950000 ,1396700 ,1185000 ,2001100 ,1160400 ,1150428 
부산광역시,서구,송도,7530000 ,9480000 ,10521000 ,8437059 ,6800000 ,1820000 ,1051410 ,3635075 ,2140600 ,2624000 
부산광역시,수영구,광안리,13108000 ,11946010 ,12128000 ,9335000 ,8450000 ,2760000 ,1230014 ,4208343 ,4317900 ,4538704 
부산광역시,해운대구,송정,4702000 ,4289002 ,4305000 ,4490000 ,4140000 ,1580111 ,1276193 ,1972576 ,2044000 ,2202686 
부산광역시,해운대구,해운대,16085000 ,14497500 ,13709000 ,11260000 ,11202000 ,6892996 ,5040678 ,8814212 ,8218718 ,9116929 
울산광역시,동구,일산,1673350 ,1851000 ,518300 ,389561 ,529500 ,101801 ,93152 ,299367 ,289160 ,150485 
울산광역시,울주군,진하,620610 ,391851 ,480035 ,424115 ,358030 ,54790 ,129480 ,579989 ,1068665 ,850142 
인천광역시,옹진군,떼뿌루,1854 ,1970 ,0 ,0 ,4250 ,1482 ,0 ,903 ,1516 ,874 
인천광역시,옹진군,서포리,3104 ,4180 ,0 ,4420 ,3230 ,1555 ,0 ,1782 ,1568 ,916 
인천광역시,옹진군,수기,4910 ,5354 ,0 ,0 ,2300 ,3287 ,0 ,3737 ,6437 ,2570 
인천광역시,옹진군,십리포,68280 ,62720 ,0 ,88168 ,66234 ,92970 ,0 ,63500 ,67565 ,72306 
인천광역시,옹진군,옹암,11700 ,4451 ,0 ,2027 ,2240 ,1899 ,0 ,1832 ,1730 ,1329 
인천광역시,옹진군,이일레,3532 ,1345 ,0 ,0 ,1640 ,530 ,0 ,814 ,654 ,1717 
인천광역시,옹진군,장경리,39750 ,36960 ,0 ,41889 ,35235 ,36276 ,0 ,43162 ,33553 ,32062 
인천광역시,옹진군,장골,3912 ,1231 ,0 ,0 ,2750 ,1189 ,0 ,1592 ,694 ,1065 
인천광역시,중구,왕산,84160 ,53040 ,0 ,65755 ,64480 ,21082 ,4100 ,87360 ,292800 ,238864 
인천광역시,중구,을왕리,118850 ,108740 ,0 ,126515 ,120151 ,56000 ,9200 ,201200 ,376130 ,575682 
인천광역시,중구,하나개,38870 ,40965 ,0 ,30048 ,111228 ,75508 ,14348 ,119412 ,171600 ,197400 
전라남도,고흥군,금장,3876 ,4441 ,4996 ,2910 ,3953 ,3086 ,3166 ,1457 ,1498 ,1686 
전라남도,고흥군,나로우주,7550 ,5425 ,5795 ,5384 ,8685 ,5002 ,3925 ,3624 ,2094 ,2440 
전라남도,고흥군,남열해돋이,23278 ,24400 ,21280 ,26604 ,20149 ,35717 ,33307 ,14490 ,14155 ,16520 
전라남도,고흥군,대전,7747 ,6798 ,6687 ,4425 ,6139 ,4734 ,9063 ,5420 ,2235 ,2300 
전라남도,고흥군,덕흥,0 ,2631 ,1400 ,1425 ,1793 ,1171 ,1438 ,2091 ,833 ,662 
전라남도,고흥군,발포,8610 ,9656 ,7866 ,8658 ,11782 ,11605 ,8589 ,7913 ,6047 ,4770 
전라남도,고흥군,연소,5601 ,6978 ,4332 ,2919 ,4206 ,3726 ,4159 ,2527 ,1828 ,3045 
전라남도,고흥군,염포,998 ,2255 ,2177 ,1451 ,5541 ,3744 ,5291 ,3890 ,978 ,706 
전라남도,고흥군,용동,3254 ,2460 ,2430 ,940 ,990 ,1215 ,1996 ,0 ,1278 ,1530 
전라남도,고흥군,익금,12304 ,17711 ,13991 ,7910 ,9121 ,16572 ,17384 ,5455 ,5668 ,12419 
전라남도,고흥군,풍류,5229 ,5329 ,4368 ,3708 ,3801 ,5082 ,5741 ,3463 ,2158 ,1496 
전라남도,목포시,외달도,14486 ,14878 ,10377 ,11058 ,11092 ,5452 ,6510 ,2219 ,937 ,5642 
전라남도,무안군,톱머리,8455 ,5184 ,4809 ,5096 ,6194 ,0 ,0 ,6921 ,3355 ,2936 
전라남도,무안군,홀통,7474 ,7005 ,5055 ,4355 ,5191 ,0 ,0 ,6970 ,2106 ,2219 
전라남도,무안군,낙지공원,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,527 ,2129 
전라남도,보성군,율포솔밭,91228 ,82600 ,87800 ,62900 ,74878 ,15206 ,33700 ,42390 ,38010 ,43210 
전라남도,신안군,대광,17867 ,4660 ,3180 ,3517 ,4294 ,3342 ,37744 ,33246 ,5174 ,3782 
전라남도,신안군,돈목,434 ,394 ,790 ,800 ,360 ,314 ,0 ,492 ,395 ,1000 
전라남도,신안군,배낭기미,1085 ,0 ,0 ,0 ,0 ,864 ,1160 ,735 ,958 ,1349 
전라남도,신안군,백길,10706 ,4404 ,3090 ,5592 ,12430 ,22738 ,17348 ,0 ,3535 ,14775 
전라남도,신안군,분계,2295 ,1166 ,865 ,2216 ,6759 ,17569 ,17118 ,15847 ,2590 ,3650 
전라남도,신안군,설레미,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7515 ,5015 ,4479 
전라남도,신안군,시목,1705 ,829 ,1450 ,2001 ,932 ,2288 ,2284 ,2753 ,1312 ,1327 
전라남도,신안군,신도,0 ,0 ,0 ,0 ,222 ,104 ,0 ,234 ,152 ,39 
전라남도,신안군,우전,27645 ,5665 ,7350 ,4514 ,7724 ,9514 ,11367 ,10444 ,5568 ,4689 
